"Fecha_reporte","Estado","Casos","Tasa de incidencia","Ambulatorios","Hospitalizados","Altas","Incidencia"
"2022-10-11","Sinaloa",8,0.25,NA,NA,NA,0
"2022-10-11","Sonora",3,0.1,NA,NA,NA,0
"2022-10-11","Tabasco",28,1.07,NA,NA,NA,1
"2022-10-11","Tamaulipas",6,0.16,NA,NA,NA,3
"2022-10-11","Tlaxcala",2,0.14,NA,NA,NA,0
"2022-10-11","Veracruz",15,0.17,NA,NA,NA,1
"2022-10-11","Yucatán",81,3.51,NA,NA,NA,4
"2022-10-11","Zacatecas",3,0.18,NA,NA,NA,0
"2022-10-17","Aguascalientes",7,0.48,"7","-","-",0
"2022-10-17","Baja California",14,0.37,"14","-","-",1
"2022-10-17","Baja California Sur",1,0.12,"1","-","-",0
"2022-10-17","Campeche",7,0.68,"7","-","-",1
"2022-10-17","Chiapas",27,0.46,"23","2","2",2
"2022-10-17","Chihuahua",11,0.28,"10","-","1",0
"2022-10-17","Ciudad de México",1491,16.59,"1303","36","152",188
"2022-10-17","Coahuila",11,0.33,"8","1","2",0
"2022-10-17","Colima",4,0.49,"4","-","-",0
"2022-10-17","Durango",1,0.05,"-","1","-",1
"2022-10-17","Estado de México",252,1.42,"245","5","2",44
"2022-10-17","Guanajuato",13,0.21,"13","-","-",1
"2022-10-17","Guerrero",4,0.11,"3","1","-",2
"2022-10-17","Hidalgo",11,0.35,"11","-","-",3
"2022-10-17","Jalisco",279,3.26,"274","5","-",27
"2022-10-17","Michoacán",6,0.12,"5","1","-",2
"2022-10-17","Morelos",16,0.77,"16","-","-",0
"2022-10-17","Nayarit",9,0.68,"8","-","1",0
"2022-10-17","Nuevo León",26,0.45,"20","-","6",4
"2022-10-17","Oaxaca",8,0.19,"6","-","2",0
"2022-10-17","Puebla",24,0.36,"22","1","1",5
"2022-10-17","Querétaro",13,0.55,"8","-","5",5
"2022-10-17","Quintana Roo",58,3.22,"30","-","28",7
"2022-10-17","San Luis Potosí",2,0.07,"2","-","-",1
"2022-10-17","Sinaloa",13,0.41,"10","2","1",5
"2022-10-17","Sonora",4,0.13,"3","1","-",1
"2022-10-17","Tabasco",37,1.41,"37","-","-",9
"2022-10-17","Tamaulipas",7,0.19,"6","1","-",1
"2022-10-17","Tlaxcala",5,0.35,"5","-","-",3
"2022-10-17","Veracruz",18,0.21,"17","1","-",3
"2022-10-17","Yucatán",86,3.73,"85","-","1",5
"2022-10-17","Zacatecas",3,0.18,"2","-","1",0
"2022-10-25","Aguascalientes",7,NA,NA,NA,NA,0
"2022-10-25","Baja California",19,NA,NA,NA,NA,5
"2022-10-25","Baja California Sur",1,NA,NA,NA,NA,0
"2022-10-25","Campeche",7,NA,NA,NA,NA,0
"2022-10-25","Chiapas",28,NA,NA,NA,NA,1
"2022-10-25","Chihuahua",13,NA,NA,NA,NA,2
"2022-10-25","Ciudad de México",1601,NA,NA,NA,NA,110
"2022-10-25","Coahuila",11,NA,NA,NA,NA,0
"2022-10-25","Colima",4,NA,NA,NA,NA,0
"2022-10-25","Durango",1,NA,NA,NA,NA,0
"2022-10-25","Estado de México",272,NA,NA,NA,NA,20
"2022-10-25","Guanajuato",16,NA,NA,NA,NA,3
"2022-10-25","Guerrero",4,NA,NA,NA,NA,0
"2022-10-25","Hidalgo",12,NA,NA,NA,NA,1
"2022-10-25","Jalisco",301,NA,NA,NA,NA,22
"2022-10-25","Michoacán",6,NA,NA,NA,NA,0
"2022-10-25","Morelos",16,NA,NA,NA,NA,0
"2022-10-25","Nayarit",9,NA,NA,NA,NA,0
"2022-10-25","Nuevo León",30,NA,NA,NA,NA,4
"2022-10-25","Oaxaca",8,NA,NA,NA,NA,0
"2022-10-25","Puebla",25,NA,NA,NA,NA,1
"2022-10-25","Querétaro",17,NA,NA,NA,NA,4
"2022-10-25","Quintana Roo",58,NA,NA,NA,NA,0
"2022-10-25","San Luis Potosí",2,NA,NA,NA,NA,0
"2022-10-25","Sinaloa",13,NA,NA,NA,NA,0
"2022-10-25","Sonora",4,NA,NA,NA,NA,0
"2022-10-25","Tabasco",39,NA,NA,NA,NA,2
"2022-10-25","Tamaulipas",9,NA,NA,NA,NA,2
"2022-10-25","Tlaxcala",5,NA,NA,NA,NA,0
"2022-10-25","Veracruz",20,NA,NA,NA,NA,2
"2022-10-25","Yucatán",93,NA,NA,NA,NA,7
"2022-10-25","Zacatecas",3,NA,NA,NA,NA,0
